"job.id" "instance_size" "ipn" "ranking" "type"
251 100 1 "2-3-1" "no-order"
252 100 1 "2-3-1" "no-order"
253 100 1 "2-3-1" "no-order"
254 100 1 "2-3-1" "no-order"
255 100 1 "2-3-1" "no-order"
256 100 1 "2-3-1" "no-order"
257 100 1 "2-3-1" "no-order"
258 100 1 "2-3-1" "no-order"
259 100 1 "2-3-1" "no-order"
260 100 1 "2-3-1" "no-order"
261 100 1 "3-1-2" "explicit-ranking"
262 100 1 "3-1-2" "explicit-ranking"
263 100 1 "3-1-2" "explicit-ranking"
264 100 1 "3-1-2" "explicit-ranking"
265 100 1 "3-1-2" "explicit-ranking"
266 100 1 "3-1-2" "explicit-ranking"
267 100 1 "3-1-2" "explicit-ranking"
268 100 1 "3-1-2" "explicit-ranking"
269 100 1 "3-1-2" "explicit-ranking"
270 100 1 "3-1-2" "explicit-ranking"
271 100 1 "3-1-2" "no-order"
272 100 1 "3-1-2" "no-order"
273 100 1 "3-1-2" "no-order"
274 100 1 "3-1-2" "no-order"
275 100 1 "3-1-2" "no-order"
276 100 1 "3-1-2" "no-order"
277 100 1 "3-1-2" "no-order"
278 100 1 "3-1-2" "no-order"
279 100 1 "3-1-2" "no-order"
280 100 1 "3-1-2" "no-order"
281 100 1 "3-2-1" "explicit-ranking"
282 100 1 "3-2-1" "explicit-ranking"
283 100 1 "3-2-1" "explicit-ranking"
284 100 1 "3-2-1" "explicit-ranking"
285 100 1 "3-2-1" "explicit-ranking"
286 100 1 "3-2-1" "explicit-ranking"
287 100 1 "3-2-1" "explicit-ranking"
288 100 1 "3-2-1" "explicit-ranking"
289 100 1 "3-2-1" "explicit-ranking"
290 100 1 "3-2-1" "explicit-ranking"
291 100 1 "3-2-1" "no-order"
292 100 1 "3-2-1" "no-order"
293 100 1 "3-2-1" "no-order"
294 100 1 "3-2-1" "no-order"
295 100 1 "3-2-1" "no-order"
296 100 1 "3-2-1" "no-order"
297 100 1 "3-2-1" "no-order"
298 100 1 "3-2-1" "no-order"
299 100 1 "3-2-1" "no-order"
300 100 1 "3-2-1" "no-order"
301 100 3 "1-2-3" "explicit-ranking"
302 100 3 "1-2-3" "explicit-ranking"
303 100 3 "1-2-3" "explicit-ranking"
304 100 3 "1-2-3" "explicit-ranking"
305 100 3 "1-2-3" "explicit-ranking"
306 100 3 "1-2-3" "explicit-ranking"
307 100 3 "1-2-3" "explicit-ranking"
308 100 3 "1-2-3" "explicit-ranking"
309 100 3 "1-2-3" "explicit-ranking"
310 100 3 "1-2-3" "explicit-ranking"
311 100 3 "1-2-3" "no-order"
312 100 3 "1-2-3" "no-order"
313 100 3 "1-2-3" "no-order"
314 100 3 "1-2-3" "no-order"
315 100 3 "1-2-3" "no-order"
316 100 3 "1-2-3" "no-order"
317 100 3 "1-2-3" "no-order"
318 100 3 "1-2-3" "no-order"
319 100 3 "1-2-3" "no-order"
320 100 3 "1-2-3" "no-order"
321 100 3 "1-3-2" "explicit-ranking"
322 100 3 "1-3-2" "explicit-ranking"
323 100 3 "1-3-2" "explicit-ranking"
324 100 3 "1-3-2" "explicit-ranking"
325 100 3 "1-3-2" "explicit-ranking"
326 100 3 "1-3-2" "explicit-ranking"
327 100 3 "1-3-2" "explicit-ranking"
328 100 3 "1-3-2" "explicit-ranking"
329 100 3 "1-3-2" "explicit-ranking"
330 100 3 "1-3-2" "explicit-ranking"
331 100 3 "1-3-2" "no-order"
332 100 3 "1-3-2" "no-order"
333 100 3 "1-3-2" "no-order"
334 100 3 "1-3-2" "no-order"
335 100 3 "1-3-2" "no-order"
336 100 3 "1-3-2" "no-order"
337 100 3 "1-3-2" "no-order"
338 100 3 "1-3-2" "no-order"
339 100 3 "1-3-2" "no-order"
340 100 3 "1-3-2" "no-order"
341 100 3 "2-1-3" "explicit-ranking"
342 100 3 "2-1-3" "explicit-ranking"
343 100 3 "2-1-3" "explicit-ranking"
344 100 3 "2-1-3" "explicit-ranking"
345 100 3 "2-1-3" "explicit-ranking"
346 100 3 "2-1-3" "explicit-ranking"
347 100 3 "2-1-3" "explicit-ranking"
348 100 3 "2-1-3" "explicit-ranking"
349 100 3 "2-1-3" "explicit-ranking"
350 100 3 "2-1-3" "explicit-ranking"
351 100 3 "2-1-3" "no-order"
352 100 3 "2-1-3" "no-order"
353 100 3 "2-1-3" "no-order"
